Type;Split;Model;Train score (R²);Test score (R²);Finished at timestamp (s)
ExtraTreesRegressor;5;"ExtraTreesRegressor(max_features=0.39256276034916, min_samples_split=26,
                    n_estimators=256, random_state=0)";0.6638743083077793;0.3195997702589555;94205.76368260384
ExtraTreesRegressor;6;"ExtraTreesRegressor(max_features=0.39513629066482336, min_samples_leaf=6,
                    min_samples_split=7, n_estimators=256, random_state=0)";0.6726006174135538;0.3455871760553376;95663.00307774544
ExtraTreesRegressor;7;"ExtraTreesRegressor(max_features=0.22366126676250428, min_samples_split=10,
                    n_estimators=256, random_state=0)";0.8462536709091353;0.19041078028380098;97124.5103225708
ExtraTreesRegressor;8;"ExtraTreesRegressor(max_features=0.24827771778587016, min_samples_split=4,
                    n_estimators=256, random_state=0)";0.9839674364830899;0.31262059584123325;98615.07904839516
ExtraTreesRegressor;9;"ExtraTreesRegressor(max_features=0.448902383214693, min_samples_leaf=3,
                    min_samples_split=12, n_estimators=256, random_state=0)";0.7694127937194934;0.34435213046985347;100072.58997535706
ExtraTreesRegressor;10;"ExtraTreesRegressor(max_features=0.38894862203882685, min_samples_split=15,
                    n_estimators=256, random_state=0)";0.8012111130009134;0.33497744170450794;101562.87352323532
ExtraTreesRegressor;11;"ExtraTreesRegressor(max_features=0.29152870343852133, min_samples_split=14,
                    n_estimators=256, random_state=0)";0.7870518097771981;0.2931024006241887;103006.99291682243
ExtraTreesRegressor;12;"ExtraTreesRegressor(max_features=0.6225465914997821, min_samples_leaf=9,
                    min_samples_split=13, n_estimators=256, random_state=0)";0.6120436214757671;0.22300792388967472;104495.77868843079
ExtraTreesRegressor;13;"ExtraTreesRegressor(max_features=0.722592505948396, min_samples_leaf=8,
                    n_estimators=256, random_state=0)";0.6429506388859607;0.3184976483843833;106021.09015727043
ExtraTreesRegressor;14;"ExtraTreesRegressor(max_features=0.38548599652626464, min_samples_split=15,
                    n_estimators=256, random_state=0)";0.803168875263189;0.24691447871862282;107511.2261660099
ExtraTreesRegressor;15;"ExtraTreesRegressor(max_features=0.6576064971960346, min_samples_leaf=3,
                    min_samples_split=9, n_estimators=256, random_state=0)";0.8518768285107275;0.40454118337264455;109025.42448997498
ExtraTreesRegressor;16;"ExtraTreesRegressor(max_features=0.43928929811694967, min_samples_leaf=6,
                    min_samples_split=9, n_estimators=256, random_state=0)";0.6895263631805099;0.317477731117923;110483.758736372
ExtraTreesRegressor;17;"ExtraTreesRegressor(max_features=0.25346779677193554, min_samples_leaf=2,
                    min_samples_split=8, n_estimators=256, random_state=0)";0.8452583814102055;0.290045823254656;111935.87418198586
ExtraTreesRegressor;18;"ExtraTreesRegressor(max_features=0.3379003666647652, min_samples_split=22,
                    n_estimators=256, random_state=0)";0.6878017235993968;0.3664920651073984;113364.4644408226
ExtraTreesRegressor;19;"ExtraTreesRegressor(max_features=0.5018209169591095, min_samples_split=22,
                    n_estimators=256, random_state=0)";0.7237934391336058;0.3584091905168372;114827.06242609024
ExtraTreesRegressor;20;"ExtraTreesRegressor(max_features=0.33737146180555594, min_samples_split=4,
                    n_estimators=256, random_state=0)";0.9888640927281567;0.15137244472146327;116445.61644053459
ExtraTreesRegressor;21;"ExtraTreesRegressor(max_features=0.35345388118326, n_estimators=256,
                    random_state=0)";1.0;0.2068483691448969;117998.89820837975
ExtraTreesRegressor;22;"ExtraTreesRegressor(max_features=0.6238579675591727, min_samples_leaf=6,
                    min_samples_split=9, n_estimators=256, random_state=0)";0.7093146738517057;0.35488376984804526;119445.47614908218
